region,metric,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050
NYUP (54.9),Carbon Intensities (MT CO2/MWh),0.14968389341262686,0.06137349318420034,0.06365607938117478,0.06676068192644344,0.06308524409955366,0.05970277431410873,0.06228714123527068,0.05410233184231057,0.053185993966953074,0.052603102249748776,0.051277606995186374,0.05203818375010187,0.04999499582802839,0.04892183602132769,0.04943931096094687,0.04965938202137746,0.04735431479155175,0.04676651489961296,0.045280366453274004,0.05201546760585706,0.050768126310097375,0.05070011395013142,0.05050637378324069,0.049800417419420887,0.04924233044717909,0.048080763400658894,0.048494101159832846
Midcontinent ISO East (54.5),Electricity Sales (B kWh),92.01466369628906,93.95265197753906,94.6334457397461,95.73233795166016,96.57331085205078,97.53089904785156,98.46942138671875,99.50059509277344,101.1224975585938,102.7671813964844,104.8264923095703,107.0234756469727,109.3174896240234,111.3842849731445,113.4245986938477,115.5390090942383,117.5889587402344,119.4440765380859,121.1889419555664,122.8463973999023,124.4035720825195,125.8201522827148,127.1810150146484,128.6497802734375,130.0319519042969,131.3742828369141,132.7547912597656
Midcontinent ISO East (54.5),Carbon Dioxide (M short tons),50.62477111816406,50.68416213989258,43.02888107299805,41.16950607299805,40.80914306640625,29.87133598327637,23.59178733825684,16.60134696960449,16.30170249938965,15.62583541870117,15.54266452789307,15.2358341217041,13.71259784698486,12.27185249328613,11.34526348114014,10.65285396575928,9.334259033203125,9.224550247192383,9.318572998046875,9.54036808013916,9.659915924072266,9.737147331237793,9.822439193725586,9.996301651000977,10.02853775024414,10.17953300476074,10.756422996521
Midcontinent ISO East (54.5),Carbon Intensities (MT CO2/MWh),0.5501815589443463,0.5394649440231817,0.45468999608587535,0.43004805851275146,0.42257164744952563,0.3062756139325713,0.23958490875664704,0.16684671035510437,0.16120747502249821,0.1520508318547279,0.14827038647819066,0.14235973957677261,0.12543827976791927,0.11017579810513624,0.10002471784593162,0.0922013616809746,0.07938040385087024,0.07722903064390176,0.07689293138200269,0.07766095125347769,0.07764982759228682,0.07738940984079133,0.07723196101709254,0.07770166128348162,0.07712364233081044,0.07748497487440101,0.08102474415008916
Midcontinent ISO Central (54.5),Electricity Sales (B kWh),189.4500885009766,193.1928405761719,194.2830047607422,196.0434265136719,197.2827758789062,198.9845428466797,200.8089904785156,202.8891906738281,206.0028686523438,209.3578033447266,213.5796813964844,218.0471343994141,222.5319061279297,226.6341705322266,230.6190338134766,234.6461334228516,238.5341186523438,242.07373046875,245.4812316894531,248.7139129638672,251.7206573486328,254.4127655029297,256.9845581054688,259.8092651367188,262.6196899414062,265.4136352539062,268.2165222167969
Midcontinent ISO Central (54.5),Carbon Dioxide (M short tons),105.5604553222656,115.5075759887695,103.1577224731445,96.26622772216797,100.3342056274414,97.7209701538086,94.57453918457031,91.5684585571289,45.62841796875,40.84713745117188,38.60715484619141,35.99885177612305,30.2961483001709,25.21817779541016,20.85095024108887,11.78356552124023,11.8770112991333,12.06595325469971,12.03582954406738,12.0755443572998,12.03831195831299,12.09119892120361,12.06885147094727,12.1611499786377,12.46573829650879,12.77471542358398,12.28385162353516
Midcontinent ISO Central (54.5),Carbon Intensities (MT CO2/MWh),0.557194014304836,0.5978874560997371,0.5309662705710277,0.49104542515968747,0.5085806664086447,0.4910982971632321,0.4709676541832362,0.45132250886809255,0.2214940901903351,0.1951068305006686,0.18076230189014086,0.16509665158075923,0.1361429416002673,0.11127261937680409,0.09041296330272984,0.05021845171428961,0.049791666560051656,0.049844124892590685,0.049029530531659336,0.04855194554015206,0.04782409232961736,0.047525912849936666,0.04696333336104227,0.04680799190220629,0.047466883763704296,0.048131345668669716,0.045798265975599516
PJM Dominion (54.13),Electricity Sales (B kWh),109.6075744628906,110.8445816040039,111.1035003662109,112.3700790405273,113.3400650024414,114.9160232543945,116.3864135742188,117.9487915039062,119.8116149902344,121.6469955444336,123.5828704833984,125.6706466674805,128.0174102783203,130.4583740234375,132.957275390625,135.5091857910156,137.908447265625,140.1177368164062,142.1609954833984,144.0931854248047,145.8797607421875,147.6213226318359,149.2961730957031,151.0958557128906,153.0560302734375,155.1087341308594,157.3075408935547
PJM Dominion (54.13),Carbon Dioxide (M short tons),31.47939300537109,37.65145492553711,26.19056129455566,25.15663909912109,25.42365264892578,25.12209510803223,24.01362800598145,21.97712516784668,23.75890159606934,21.91633033752441,18.88426780700684,17.66277122497559,19.35045433044434,13.7192268371582,12.81532764434814,11.85052585601807,11.25722980499268,11.27618503570557,12.82123947143555,11.92270946502686,11.74569606781006,12.62455368041992,12.63603591918945,12.46977233886719,11.58862590789795,11.30456829071045,11.41905307769775
PJM Dominion (54.13),Carbon Intensities (MT CO2/MWh),0.2872008906284934,0.3396779019839529,0.23573119846114954,0.22387311029698678,0.2243130233636106,0.21861263900873404,0.20632672894133064,0.1863276841384072,0.19830215624758818,0.18016335084510252,0.15280651544296078,0.14054810485467284,0.1511548647045341,0.10516171874634488,0.0963868100237241,0.08745182687684463,0.08162828331545323,0.08047649992006763,0.09018816608478812,0.08274304874222349,0.0805162827800915,0.0855198521144893,0.08463737319703024,0.08252888393287244,0.0757149253589986,0.07288157146052916,0.07259062733314661
WECC California North (54.21),Electricity Sales (B kWh),114.539794921875,113.3348159790039,113.7726821899414,116.2738265991211,118.3835906982422,120.5582885742188,122.8780670166016,125.1069946289062,128.3308715820312,131.9155426025391,136.0478973388672,140.3524780273438,144.3590393066406,148.1473083496094,151.9542999267578,155.7603759765625,159.5060882568359,162.94482421875,166.0950927734375,168.9078674316406,171.6401519775391,174.384033203125,176.8976135253906,179.5464019775391,182.2197570800781,184.9016876220703,187.5301055908203
WECC California North (54.21),Carbon Dioxide (M short tons),26.39170265197754,22.86181449890137,20.2057056427002,17.5977611541748,16.94685554504395,17.44023895263672,19.31128883361816,20.37657356262207,22.06754875183105,20.27873039245605,20.1411075592041,19.6944751739502,18.33751106262207,16.13231658935547,14.95617961883545,13.41013145446777,13.70391654968262,13.28275585174561,12.18141460418701,12.50777626037598,12.12831687927246,11.69111919403076,9.968656539916992,11.1620922088623,11.33113098144531,10.36483383178711,10.22235488891602
WECC California North (54.21),Carbon Intensities (MT CO2/MWh),0.2304151379874455,0.20171925371226337,0.17759716351739993,0.15134757037666655,0.14315206562910565,0.14466229704231456,0.1571581430476855,0.16287317606072543,0.1719582239237354,0.1537251031408465,0.14804423995643803,0.14032153511470793,0.12702710651648494,0.10889375425765542,0.0984255109993225,0.08609462689333526,0.08591469265810495,0.0815168933130014,0.07334000301142614,0.07405088022580153,0.0706613035442871,0.06704237182318623,0.0563526909224593,0.062168286782258414,0.06218387711089827,0.056055917958803624,0.0545104737007966
WECC California North (54.21),SPPC (54.18),,,,,,,,,,,,,,,,,,,,,,,,,,,
WECC California North (54.21),Electricity Sales (B kWh),71.99781036376953,73.20393371582031,72.54877471923828,73.03959655761719,73.38819122314453,74.1553955078125,74.92823028564453,75.83268737792969,77.11428833007812,78.54789733886719,80.3192138671875,82.23645782470703,84.10344696044922,85.8669662475586,87.5996322631836,89.25244140625,90.8387451171875,92.34676361083984,93.8589859008789,95.33790588378906,96.77101135253906,98.04363250732422,99.25955200195312,100.5896911621094,101.9680480957031,103.3738250732422,104.7069473266602
WECC California North (54.21),Carbon Dioxide (M short tons),38.52047729492188,32.98561477661133,31.80508804321289,26.92715835571289,26.97339057922363,25.9782657623291,18.05684089660645,14.95047378540039,20.15680885314941,18.85125923156738,13.12920188903809,11.83215141296387,11.82882785797119,11.78811931610107,11.30135250091553,6.342245101928711,6.484311580657959,6.350391387939453,6.252102851867676,6.261899948120117,6.306989669799805,6.351569652557373,6.598427295684814,6.657314300537109,7.437419414520264,7.446111679077148,7.493239879608154
WECC California North (54.21),Carbon Intensities (MT CO2/MWh),0.5350229000062203,0.45059893782023236,0.4383959366136463,0.36866521208768505,0.36754401668257763,0.3503219905231604,0.24098848762034555,0.19715078421118398,0.261388768406585,0.23999699381181744,0.16346277879098756,0.14387963350981092,0.1406461718927389,0.13728351927696333,0.12901141487628442,0.07105962595533648,0.0713826635571947,0.06876679961087485,0.06661165994772515,0.06568111487316473,0.06517436969655399,0.06478309187578181,0.06647649684692288,0.06618286847911924,0.07293872495764361,0.07203091956596794,0.07156392265196185
