city,year,ng_commercial_mt_co2e
Oakland,2038,286628.6866965835
Oakland,2039,288237.6434255985
Oakland,2040,289789.2238127007
Oakland,2041,291481.18490401143
Oakland,2042,293283.1997863298
Oakland,2043,295038.11933437944
Oakland,2044,296754.91875355976
Oakland,2045,298556.4537662874
Oakland,2046,300566.86045675556
Oakland,2047,302381.3972061425
Oakland,2048,303926.5282440675
Oakland,2049,305228.02095062117
Oakland,2050,306321.4516763348
Philadelphia,2027,1779898.275940343
Philadelphia,2028,1781949.1548321024
Philadelphia,2029,1785134.5732099174
Philadelphia,2030,1789430.9195455692
Philadelphia,2031,1795475.260633233
Philadelphia,2032,1801710.5366018354
Philadelphia,2033,1808042.9544504131
Philadelphia,2034,1816091.5605904069
Philadelphia,2035,1825635.418960003
Philadelphia,2036,1836501.3404614297
Philadelphia,2037,1847783.6580563004
Philadelphia,2038,1860688.1794060292
Philadelphia,2039,1874474.127546844
Philadelphia,2040,1888099.6983353437
Philadelphia,2041,1902585.0515282485
Philadelphia,2042,1917590.4641227112
Philadelphia,2043,1933516.5518372296
Philadelphia,2044,1950321.984030885
Philadelphia,2045,1966879.8778788655
Philadelphia,2046,1983935.2676216096
Philadelphia,2047,2001370.4634788097
Philadelphia,2048,2018355.4683302683
Philadelphia,2049,2034042.102159281
Philadelphia,2050,2049407.3857610542
Pittsbugh,2027,535889.0208
Pittsbugh,2028,539011.0712
Pittsbugh,2029,542133.1216000001
Pittsbugh,2030,545255.172
Pittsbugh,2031,548377.2224000001
Pittsbugh,2032,551499.2728
Pittsbugh,2033,554621.3232
Pittsbugh,2034,557743.3736
Pittsbugh,2035,560865.424
Pittsbugh,2036,563987.4744000001
Pittsbugh,2037,567109.5248
Pittsbugh,2038,570231.5752000001
Pittsbugh,2039,573353.6256
Pittsbugh,2040,576475.676
Pittsbugh,2041,579597.7264
Pittsbugh,2042,582719.7768
Pittsbugh,2043,585841.8272
Pittsbugh,2044,588963.8776
Pittsbugh,2045,592085.9280000001
Pittsbugh,2046,595207.9784
Pittsbugh,2047,598330.0288000001
Pittsbugh,2048,601452.0792
Pittsbugh,2049,604574.1296
Pittsbugh,2050,607696.18
Raleigh,2027,168954.34889425774
Raleigh,2028,167927.70455217158
Raleigh,2029,167028.14169411283
Raleigh,2030,166138.93167979934
Raleigh,2031,165378.64600917386
