city,year,ng_residential_mmbtu
Memphis,2041,9829995.49957058
Memphis,2042,9767389.96039833
Memphis,2043,9691729.504856
Memphis,2044,9621758.43871563
Memphis,2045,9547859.15299071
Memphis,2046,9488762.39385959
Memphis,2047,9425985.14726177
Memphis,2048,9363362.22364381
Memphis,2049,9287545.94491752
Memphis,2050,9223450.46031881
Montgomery,2027,1752760.0
Montgomery,2028,1739640.0
Montgomery,2029,1726520.0
Montgomery,2030,1713400.0
Montgomery,2031,1700280.0
Montgomery,2032,1687160.0
Montgomery,2033,1674040.0
Montgomery,2034,1660920.0
Montgomery,2035,1647800.0
Montgomery,2036,1634680.0
Montgomery,2037,1621560.0
Montgomery,2038,1608440.0
Montgomery,2039,1595320.0
Montgomery,2040,1582200.0
Montgomery,2041,1569080.0
Montgomery,2042,1555960.0
Montgomery,2043,1542840.0
Montgomery,2044,1529720.0
Montgomery,2045,1516600.0
Montgomery,2046,1503480.0
Montgomery,2047,1490360.0
Montgomery,2048,1477240.0
Montgomery,2049,1464120.0
Montgomery,2050,1451000.0
Nashville,2027,2819324.18805822
Nashville,2028,2793657.02959171
Nashville,2029,2766616.51966445
Nashville,2030,2742269.10543967
Nashville,2031,2718591.07043644
Nashville,2032,2694838.21250477
Nashville,2033,2669515.99490683
Nashville,2034,2647004.4074189
Nashville,2035,2624392.40822132
Nashville,2036,2603634.73950309
Nashville,2037,2580681.91984207
Nashville,2038,2559595.25335136
Nashville,2039,2539677.54560698
Nashville,2040,2523150.55432424
Nashville,2041,2503457.20065093
Nashville,2042,2484616.56285552
Nashville,2043,2465551.4322769
Nashville,2044,2449767.35757723
Nashville,2045,2431419.68794993
Nashville,2046,2414435.70178571
Nashville,2047,2397819.40563123
Nashville,2048,2381908.87462142
Nashville,2049,2362378.44753911
Nashville,2050,2345343.6483135
Newport News,2027,1743480.0
Newport News,2028,1740720.0
Newport News,2029,1737960.0
Newport News,2030,1735200.0
Newport News,2031,1732440.0
Newport News,2032,1729680.0
Newport News,2033,1726920.0
Newport News,2034,1724160.0
Newport News,2035,1721400.0
Newport News,2036,1718640.0
Newport News,2037,1715880.0
Newport News,2038,1713120.0
Newport News,2039,1710360.0
Newport News,2040,1707600.0
Newport News,2041,1704840.0
Newport News,2042,1702080.0
Newport News,2043,1699320.0
Newport News,2044,1696560.0
Newport News,2045,1693800.0
Newport News,2046,1691040.0
Newport News,2047,1688280.0
Newport News,2048,1685520.0
Newport News,2049,1682760.0
Newport News,2050,1680000.0
Oakland,2027,5303110.95090726
Oakland,2028,5275032.97252099
Oakland,2029,5200405.31076141
Oakland,2030,5142407.33043077
Oakland,2031,5089927.29359536
Oakland,2032,5073412.51600513
Oakland,2033,5054040.62031503
Oakland,2034,5035112.26721702
Oakland,2035,5012789.26421838
Oakland,2036,4986839.06251764
Oakland,2037,4978628.09618511
Oakland,2038,4966632.81170655
Oakland,2039,4957253.89814364
Oakland,2040,4940850.70235083
Oakland,2041,4912715.37886331
Oakland,2042,4897546.13062992
Oakland,2043,4881644.36575561
Oakland,2044,4867560.55269601
Oakland,2045,4846662.80708396
Oakland,2046,4827534.65729121
Oakland,2047,4815804.38535798
Oakland,2048,4792467.64402624
Oakland,2049,4784156.46831147
Oakland,2050,4772476.62416016
Philadelphia,2027,34785499.9830629
Philadelphia,2028,34610748.4334568
Philadelphia,2029,34459628.2616252
Philadelphia,2030,34306490.5507872
Philadelphia,2031,34149013.9008477
Philadelphia,2032,34001011.4227069
Philadelphia,2033,33820544.6933757
Philadelphia,2034,33658954.2928486
Philadelphia,2035,33511046.9235228
Philadelphia,2036,33366319.4168715
Philadelphia,2037,33206767.9432469
Philadelphia,2038,33060576.2550652
Philadelphia,2039,32933203.2245285
Philadelphia,2040,32782952.7090348
Philadelphia,2041,32647454.9825069
Philadelphia,2042,32529899.292936
Philadelphia,2043,32371395.6101847
Philadelphia,2044,32246554.2108788
Philadelphia,2045,32121213.3430465
Philadelphia,2046,31978830.9115644
Philadelphia,2047,31853883.6391102
Philadelphia,2048,31725206.8808203
Philadelphia,2049,31582468.1290755
Philadelphia,2050,31437617.3766611
Pittsburgh,2027,9970800.0
Pittsburgh,2028,9965200.0
Pittsburgh,2029,9959600.0
Pittsburgh,2030,9954000.0
Pittsburgh,2031,9948400.0
Pittsburgh,2032,9942800.0
Pittsburgh,2033,9937200.0
Pittsburgh,2034,9931600.0
Pittsburgh,2035,9926000.0
Pittsburgh,2036,9920400.0
Pittsburgh,2037,9914800.0
Pittsburgh,2038,9909200.0
Pittsburgh,2039,9903600.0
Pittsburgh,2040,9898000.0
Pittsburgh,2041,9892400.0
Pittsburgh,2042,9886800.0
Pittsburgh,2043,9881200.0
Pittsburgh,2044,9875600.0
Pittsburgh,2045,9870000.0
Pittsburgh,2046,9864400.0
Pittsburgh,2047,9858800.0
Pittsburgh,2048,9853200.0
Pittsburgh,2049,9847600.0
Pittsburgh,2050,9842000.0
Raleigh,2027,3867394.18030929
Raleigh,2028,3852263.12998527
Raleigh,2029,3835558.15014594
