city,year,ng_residential_mt_co2e
Savannah,2050,67503.66374906029
St. Louis,2027,689617.413198913
St. Louis,2028,682154.7438167309
St. Louis,2029,674939.8390073647
St. Louis,2030,668134.304090243
St. Louis,2031,662896.9280480881
St. Louis,2032,658321.7071304278
St. Louis,2033,651937.7016106328
St. Louis,2034,646268.8415618521
St. Louis,2035,641278.8548610753
St. Louis,2036,635577.2072421447
St. Louis,2037,629704.350292469
St. Louis,2038,625145.8830140214
St. Louis,2039,620445.1811640142
St. Louis,2040,615007.1767939609
St. Louis,2041,610855.8440491675
St. Louis,2042,607049.2554870469
St. Louis,2043,602477.2445049217
St. Louis,2044,598251.5047134791
St. Louis,2045,594318.6076156613
St. Louis,2046,590759.2075151075
St. Louis,2047,586988.928373617
St. Louis,2048,583278.5916587452
St. Louis,2049,579149.2533584911
St. Louis,2050,574867.3898671813
