city,year,ng_commercial_mmbtu
Oakland,2038,5401972.98711993
Oakland,2039,5432296.33293627
Oakland,2040,5461538.3304316
Oakland,2041,5493426.02533003
Oakland,2042,5527387.85876988
Oakland,2043,5560462.1058119
Oakland,2044,5592817.91846136
Oakland,2045,5626770.70799637
Oakland,2046,5664660.01614692
Oakland,2047,5698857.84406601
Oakland,2048,5727978.29332958
Oakland,2049,5752506.99115381
Oakland,2050,5773114.43038701
Philadelphia,2027,33545010.8545108
Philadelphia,2028,33583662.9255956
Philadelphia,2029,33643697.1958145
Philadelphia,2030,33724668.668405
Philadelphia,2031,33838583.8792543
Philadelphia,2032,33956097.561286
Philadelphia,2033,34075442.0363817
Philadelphia,2034,34227130.8064532
Philadelphia,2035,34406999.9803996
Philadelphia,2036,34611785.5345162
Philadelphia,2037,34824418.7345703
Philadelphia,2038,35067624.9416892
Philadelphia,2039,35327443.0370683
Philadelphia,2040,35584238.5664407
Philadelphia,2041,35857238.0612184
Philadelphia,2042,36140038.9016719
Philadelphia,2043,36440191.3275015
Philadelphia,2044,36756916.3971143
Philadelphia,2045,37068976.213322
Philadelphia,2046,37390412.1300718
Philadelphia,2047,37719006.0964721
Philadelphia,2048,38039115.4981204
Philadelphia,2049,38334755.0350411
Philadelphia,2050,38624338.2163787
Pittsburgh,2027,10099680.0
Pittsburgh,2028,10158520.0
Pittsburgh,2029,10217360.0
Pittsburgh,2030,10276200.0
Pittsburgh,2031,10335040.0
Pittsburgh,2032,10393880.0
Pittsburgh,2033,10452720.0
Pittsburgh,2034,10511560.0
Pittsburgh,2035,10570400.0
Pittsburgh,2036,10629240.0
Pittsburgh,2037,10688080.0
Pittsburgh,2038,10746920.0
Pittsburgh,2039,10805760.0
Pittsburgh,2040,10864600.0
Pittsburgh,2041,10923440.0
Pittsburgh,2042,10982280.0
Pittsburgh,2043,11041120.0
Pittsburgh,2044,11099960.0
Pittsburgh,2045,11158800.0
Pittsburgh,2046,11217640.0
Pittsburgh,2047,11276480.0
Pittsburgh,2048,11335320.0
Pittsburgh,2049,11394160.0
Pittsburgh,2050,11453000.0
Raleigh,2027,3184213.13407949
Raleigh,2028,3164864.39035378
Raleigh,2029,3147910.69909749
Raleigh,2030,3131152.12362984
Raleigh,2031,3116823.33224979
Raleigh,2032,3101213.82458037
Raleigh,2033,3084445.81507629
Raleigh,2034,3069452.42193926
Raleigh,2035,3055875.59172945
Raleigh,2036,3042824.20692952
Raleigh,2037,3030014.61778262
Raleigh,2038,3019220.97616966
Raleigh,2039,3010121.42186652
Raleigh,2040,3000630.02997392
Raleigh,2041,2993956.56703443
Raleigh,2042,2987757.2789644
Raleigh,2043,2982534.35231762
Raleigh,2044,2979158.23277831
Raleigh,2045,2977811.81060231
Raleigh,2046,2980546.75472298
Raleigh,2047,2983581.4625671
Raleigh,2048,2986341.9727144
Raleigh,2049,2987229.97568529
Raleigh,2050,2989367.54595156
Rochester,2027,6571543.82344761
Rochester,2028,6579073.96498617
Rochester,2029,6590783.27622885
Rochester,2030,6606634.36255752
Rochester,2031,6628944.05380119
Rochester,2032,6651908.1235988
Rochester,2033,6675245.43095935
Rochester,2034,6704904.60831263
Rochester,2035,6740111.29620246
Rochester,2036,6780224.35120543
Rochester,2037,6821926.06329881
Rochester,2038,6869607.65758774
Rochester,2039,6920591.92789282
Rochester,2040,6970906.04160691
Rochester,2041,7024349.94496259
Rochester,2042,7079732.38923968
Rochester,2043,7138539.03709039
Rochester,2044,7200596.41229545
Rochester,2045,7261770.50104598
Rochester,2046,7324728.8377196
Rochester,2047,7389070.0615021
Rochester,2048,7451773.94484818
Rochester,2049,7509634.00483799
Rochester,2050,7566318.80905542
Savannah,2027,2038937.45410902
Savannah,2028,2026767.13956051
Savannah,2029,2016041.49073158
Savannah,2030,2005617.0611725
Savannah,2031,1997139.53072358
Savannah,2032,1987037.56497321
Savannah,2033,1976779.238873
Savannah,2034,1967337.54575862
Savannah,2035,1958526.71333628
Savannah,2036,1950738.34627902
Savannah,2037,1942998.80457506
Savannah,2038,1936949.47382888
Savannah,2039,1931579.42948206
Savannah,2040,1926120.4766585
Savannah,2041,1921828.27226563
Savannah,2042,1918306.78364051
Savannah,2043,1915238.49971884
Savannah,2044,1913330.32143747
Savannah,2045,1913017.61438123
Savannah,2046,1914967.9243086
Savannah,2047,1917284.06907958
Savannah,2048,1919162.67244381
Savannah,2049,1919910.96554732
Savannah,2050,1921326.06005316
St. Louis,2027,15284789.4875512
St. Louis,2028,15161435.3337509
St. Louis,2029,15049383.1253333
St. Louis,2030,14942237.9004157
St. Louis,2031,14846001.2874122
St. Louis,2032,14738756.2843409
St. Louis,2033,14626361.9491286
St. Louis,2034,14519661.2008629
St. Louis,2035,14421764.763328
St. Louis,2036,14331036.0119634
St. Louis,2037,14241199.0026386
St. Louis,2038,14163735.1902359
St. Louis,2039,14093230.3870643
St. Louis,2040,14023217.3087733
St. Louis,2041,13959450.7833442
St. Louis,2042,13898498.5575086
St. Louis,2043,13836526.5710858
St. Louis,2044,13780371.9992454
St. Louis,2045,13727756.8469051
St. Louis,2046,13686282.8191162
St. Louis,2047,13644176.7302425
St. Louis,2048,13600750.2176961
St. Louis,2049,13549616.2276101
St. Louis,2050,13503985.4704424
