state,year,gasoline,diesel,ethanol_flex_e85,electric_ev,plug-in_hybrid_electric_phev,hybrid_electric_hev,biodiesel
Montana,2023,0.7722821248392522,0.06884954001384905,0.0934810564843209,0.0045504006330992185,0.0024730438223365316,0.02087248986052033,0.037491344346621824
Nebraska,2023,0.8224894644876144,0.03910987768527084,0.10129509713228492,0.0035460992907801418,0.00195292424709631,0.016754034330352555,0.014852502826600883
Nevada,2023,0.855570893314928,0.03383947939262473,0.049536580556103334,0.01869453756655492,0.00418063498323802,0.027450207059751527,0.010727667126799447
New Hampshire,2023,0.8643622839641216,0.021293662947568,0.06533945890760592,0.007219426821264493,0.004812951214176329,0.02683584919419529,0.010136366951068329
New Jersey,2023,0.8827565386832066,0.011609078683755523,0.05380519801300875,0.018497680928726296,0.005612426928671406,0.02390427312896232,0.003814803633669073
New Mexico,2023,0.8280723578499974,0.045871559633027525,0.07857772249002229,0.005338723889493599,0.002539781267817343,0.022961695951899654,0.016638158917742188
New York,2023,0.8813506539727733,0.013390871073938963,0.05259364712163004,0.011682534033276981,0.008212474419432333,0.02793842868582614,0.0048313906931221635
North Carolina,2023,0.8613841613597533,0.023265360463310184,0.07266958084629552,0.00778840393192358,0.00262941842146138,0.02336521179577074,0.008897863181485345
North Dakota,2023,0.7913186535054416,0.05644140723867375,0.1137686661604657,0.0012655024044545685,0.0010124019235636548,0.010377119716527461,0.025816249050873197
Ohio,2023,0.8660049143882367,0.019131011349896643,0.08127267054097273,0.004914388236670697,0.002340184874605094,0.019482039081087407,0.006854791528530754
Oklahoma,2023,0.8412129500813507,0.03435591501803863,0.0830955693366974,0.005376217312362942,0.007781367162630574,0.013299063877950434,0.014878917210969369
Oregon,2023,0.8129842655031072,0.057384635726563535,0.04881660716646833,0.017030278989818855,0.007616025386751289,0.0414914716382388,0.014676715589051963
Pennsylvania,2023,0.8739059457545778,0.018891489487245047,0.06507287138839171,0.006903605216057275,0.003825502035678461,0.024133115669807054,0.0072674704482426295
Rhode Island,2023,0.8972005507113354,0.012620468104635154,0.04807251032583754,0.0073428178063331805,0.005851307939421753,0.025355667737494262,0.003556677374942634
South Carolina,2023,0.8654673523702799,0.022031897224501232,0.08096372040902088,0.004182258419546555,0.0018009725251635883,0.016628979649010465,0.008924819402477338
South Dakota,2023,0.7939648502265945,0.056593345860506246,0.10920747209019564,0.0018790759367746214,0.0014369404222394164,0.01315353155742235,0.02376478390626727
Tennessee,2023,0.8645858971203544,0.024720034457297563,0.07829805562392321,0.0051070637460004925,0.0016920994339158257,0.017428624169333006,0.008168225449175486
Texas,2023,0.8333060664843683,0.030102601257391264,0.09019094584803795,0.008963002781218594,0.002154081068237237,0.017337820677620148,0.017945481883126495
Utah,2023,0.8202132895816243,0.05184577522559475,0.06077112387202625,0.013125512715340444,0.004265791632485644,0.027301066447908123,0.022477440525020508
Vermont,2023,0.8433939806155416,0.024995749022275124,0.062234313892195206,0.013263050501615371,0.009692229212718926,0.03451793912599898,0.011902737629654821
Virginia,2023,0.8670219680228779,0.01986221240088392,0.06301832835044846,0.011036006759391655,0.0034836864682178605,0.02981931626153646,0.005758481736643702
Washington,2023,0.8247651125686934,0.04050700230455593,0.04988772676239438,0.022469420315546888,0.006086391301778645,0.04538202446374756,0.010902322283283106
West Virginia,2023,0.8568467504680396,0.03102433805830436,0.08250869216368013,0.0018721583311045735,0.0012035303557100829,0.014977266648836588,0.011567263974324686
Wisconsin,2023,0.8368682187448885,0.02680697163004562,0.09745015720698617,0.004525380295512786,0.0022717772567835267,0.022463333515075515,0.009614161350707886
Wyoming,2023,0.7651752190237797,0.09527534418022528,0.09026908635794743,0.00172090112640801,0.0012515644555694619,0.013141426783479349,0.03316645807259074
