city,year,total_emissions_mt_co2e
Columbus,2042,3037603.4220795715
Columbus,2043,3090721.6192423897
Columbus,2044,3103365.879099198
Columbus,2045,3060683.6057904204
Columbus,2046,3096121.604763381
Columbus,2047,2834313.9689046275
Columbus,2048,2765480.3633587286
Columbus,2049,2726222.313476069
Columbus,2050,2721760.0416649147
Dayton,2027,1131093.0054429546
Dayton,2028,1084222.3184267743
Dayton,2029,1089775.5029162772
Dayton,2030,1087691.2637215694
Dayton,2031,1059964.1908220903
Dayton,2032,946674.9140949931
Dayton,2033,915082.1419662246
Dayton,2034,862470.7941806209
Dayton,2035,809003.9749634366
Dayton,2036,752428.9515907519
Dayton,2037,709205.6028926023
Dayton,2038,649452.9765445337
Dayton,2039,629763.6611690633
Dayton,2040,638361.2653479237
Dayton,2041,647767.2484719043
Dayton,2042,655396.729636844
Dayton,2043,666573.7169515052
Dayton,2044,669406.3111650804
Dayton,2045,659781.4801506854
Dayton,2046,667493.2940846304
Dayton,2047,611088.3531250136
Dayton,2048,595713.9220666058
Dayton,2049,587681.6719065451
Dayton,2050,586557.4893450246
Hampton,2027,395189.3162417233
Hampton,2028,393826.5639378818
Hampton,2029,386028.68002998177
Hampton,2030,370202.0576447468
Hampton,2031,346580.24871146714
Hampton,2032,358284.8171503142
Hampton,2033,336908.1033640616
Hampton,2034,305340.06791825214
Hampton,2035,290955.26747552725
Hampton,2036,302124.955959465
Hampton,2037,250424.8169556657
Hampton,2038,240365.78935026625
Hampton,2039,230200.9905105672
Hampton,2040,223296.31202435875
Hampton,2041,221934.525914486
Hampton,2042,232257.79705465803
Hampton,2043,224000.71132244493
Hampton,2044,221414.77187812582
Hampton,2045,226851.48937820818
Hampton,2046,225939.98123730876
Hampton,2047,223526.87896058103
Hampton,2048,215992.19895089464
Hampton,2049,212742.22688191393
Hampton,2050,212324.02364624696
Jackson,2027,1436134.3362313467
Jackson,2028,1397414.9414587347
Jackson,2029,1312142.9127069889
Jackson,2030,1226521.6252893806
Jackson,2031,1116610.3194283783
Jackson,2032,1096467.7412230752
Jackson,2033,1044506.296163271
Jackson,2034,959293.5066812122
Jackson,2035,916605.293631569
Jackson,2036,883180.2864014442
Jackson,2037,763010.1772353194
Jackson,2038,660383.4005509294
Jackson,2039,597612.1931800501
Jackson,2040,592758.9856710926
Jackson,2041,608401.0614536734
Jackson,2042,593359.4682283036
Jackson,2043,547907.5864459565
Jackson,2044,540075.9009421061
Jackson,2045,492603.4377112131
Jackson,2046,466737.89547315694
Jackson,2047,463812.5308090628
Jackson,2048,437829.3867617005
Jackson,2049,440054.1967527234
Jackson,2050,418913.23683902656
Kansas City,2027,3485535.4331453885
Kansas City,2028,3463086.0365031175
Kansas City,2029,3312168.27060668
Kansas City,2030,2420053.8431426818
Kansas City,2031,2058805.3540672092
Kansas City,2032,2557778.5789767145
Kansas City,2033,2376107.53822268
Kansas City,2034,1762495.2427361775
Kansas City,2035,1601224.264442816
Kansas City,2036,1569589.1477384944
Kansas City,2037,1537860.086475988
Kansas City,2038,1468625.4548508595
Kansas City,2039,1009481.1021195838
Kansas City,2040,1007594.575193028
Kansas City,2041,983613.5488156378
Kansas City,2042,963555.9952479699
Kansas City,2043,953332.6176198007
Kansas City,2044,946482.7657074343
Kansas City,2045,940258.460880227
Kansas City,2046,950801.6147291353
Kansas City,2047,946135.3273450972
Kansas City,2048,996910.3744966148
Kansas City,2049,987478.0426090383
Kansas City,2050,982218.7211146723
Lansing,2027,950944.8168683406
Lansing,2028,938759.2581761043
Lansing,2029,804437.4140743765
Lansing,2030,726269.590789196
Lansing,2031,641678.726429693
Lansing,2032,632280.5422460891
Lansing,2033,618997.1711548445
Lansing,2034,611728.1742371691
Lansing,2035,602118.8195552333
Lansing,2036,580371.4254059322
Lansing,2037,560538.4383587991
Lansing,2038,546405.1202192387
Lansing,2039,534877.6872721033
Lansing,2040,517917.310216703
Lansing,2041,512677.8585978498
Lansing,2042,509427.8258891277
Lansing,2043,507380.15043108177
Lansing,2044,504483.2957514238
Lansing,2045,501316.66121167253
Lansing,2046,498262.5332631379
Lansing,2047,495884.8642003718
Lansing,2048,492378.69732284825
Lansing,2049,489882.7290573177
Lansing,2050,490785.23129176535
Memphis,2027,5091246.992751109
Memphis,2028,4899528.365492496
Memphis,2029,4513606.973493743
Memphis,2030,4498277.905783887
Memphis,2031,4304118.186666072
Memphis,2032,2591048.923419513
Memphis,2033,2480799.862230446
Memphis,2034,2232489.741465101
Memphis,2035,2146021.2743047467
Memphis,2036,2027943.2169578546
Memphis,2037,1861674.4737275313
Memphis,2038,1786486.8466807287
Memphis,2039,1557435.111264303
Memphis,2040,1557706.7659270826
Memphis,2041,1567364.9693140863
Memphis,2042,1566568.6659508664
Memphis,2043,1543361.6242485663
Memphis,2044,1539203.891308979
Memphis,2045,1524501.019904093
Memphis,2046,1529123.8060021447
Memphis,2047,1513548.6435531254
Memphis,2048,1527578.249197967
Memphis,2049,1533541.6526874243
Memphis,2050,1561086.7405227807
Montgomery,2027,1234966.5049742907
Montgomery,2028,1179872.2833745526
Montgomery,2029,1111099.0509168871
Montgomery,2030,1015140.1747132763
Montgomery,2031,957679.4656424115
Montgomery,2032,752534.7342413352
Montgomery,2033,683959.7542578746
Montgomery,2034,665388.2959278286
Montgomery,2035,640208.7345029708
Montgomery,2036,610902.8157211081
Montgomery,2037,577328.3135028882
Montgomery,2038,548897.8311994984
Montgomery,2039,524640.5079997883
Montgomery,2040,511089.9283096596
Montgomery,2041,514181.35335826693
Montgomery,2042,494746.36008273717
Montgomery,2043,464213.441234256
Montgomery,2044,457727.249275457
Montgomery,2045,451017.7197878372
Montgomery,2046,440479.85787457833
Montgomery,2047,419992.2477284758
Montgomery,2048,412426.73106736917
Montgomery,2049,415241.2221173196
Montgomery,2050,413263.17121385597
Nashville,2027,4539092.679355064
Nashville,2028,4360853.273338159
Nashville,2029,3996419.2280176813
Nashville,2030,3982644.878354205
Nashville,2031,3798902.0104032224
Nashville,2032,2160873.8307416467
Nashville,2033,2058941.971341623
Nashville,2034,1824030.5526021246
Nashville,2035,1744293.8685272653
Nashville,2036,1633543.3287938682
Nashville,2037,1476558.8269870775
Nashville,2038,1406687.2189395728
Nashville,2039,1190802.680669022
Nashville,2040,1193865.6731556254
Nashville,2041,1205274.5811809935
Nashville,2042,1206248.183918486
Nashville,2043,1186830.8129003602
Nashville,2044,1185723.6427212332
Nashville,2045,1174447.866338892
Nashville,2046,1180870.909216308
Nashville,2047,1168439.2770667886
Nashville,2048,1184309.8057942875
Nashville,2049,1192728.4110612946
Nashville,2050,1221323.7741261371
Newport News,2027,626394.5336576812
Newport News,2028,598160.4742638353
Newport News,2029,573035.1208455159
Newport News,2030,557127.3194400523
Newport News,2031,501276.5522269636
Newport News,2032,347203.6315032145
Newport News,2033,303546.84432387474
Newport News,2034,286343.9114344538
Newport News,2035,270407.652925671
Newport News,2036,273699.6767087097
Newport News,2037,238317.92094014492
Newport News,2038,243785.18754419556
Newport News,2039,226728.59787118807
Newport News,2040,210699.881652273
Newport News,2041,214468.83159549301
Newport News,2042,213387.3800488535
Newport News,2043,209478.7190616496
Newport News,2044,199551.81082249156
Newport News,2045,193466.92995632585
Newport News,2046,188741.0735653617
Newport News,2047,197632.55381928338
Newport News,2048,198004.98461192028
Newport News,2049,189701.50203589618
Newport News,2050,201545.4632115797
Oakland,2027,914638.4025236837
Oakland,2028,891909.6213995296
Oakland,2029,882295.4318924845
Oakland,2030,898438.6871672934
Oakland,2031,901338.4117918457
Oakland,2032,915759.168887096
Oakland,2033,872728.3676024219
Oakland,2034,857657.0915622683
Oakland,2035,838700.6597666324
Oakland,2036,808563.5702109078
Oakland,2037,770655.0191979503
Oakland,2038,748910.372711098
Oakland,2039,724234.2145348259
Oakland,2040,723582.3350104906
Oakland,2041,714021.3885654322
Oakland,2042,698052.8087538872
Oakland,2043,699792.1360105055
Oakland,2044,693733.34012929
Oakland,2045,686962.036410435
Oakland,2046,666811.2919635646
Oakland,2047,679298.0810202134
Oakland,2048,679571.0198099473
Oakland,2049,668633.9083802368
Oakland,2050,666313.935527991
Philadelphia,2027,7815705.103880349
Philadelphia,2028,7514124.057157375
Philadelphia,2029,7292750.95544878
Philadelphia,2030,7042344.177250865
Philadelphia,2031,6822746.538353662
Philadelphia,2032,6514054.595967056
Philadelphia,2033,6336472.78576792
Philadelphia,2034,6095503.615756447
Philadelphia,2035,6037958.820140553
Philadelphia,2036,5897078.594827756
Philadelphia,2037,5519586.970886856
Philadelphia,2038,5174469.403885954
Philadelphia,2039,5010124.754313203
Philadelphia,2040,4991308.950345125
Philadelphia,2041,5015449.563968565
Philadelphia,2042,4950036.6389778545
Philadelphia,2043,5048219.590865776
Philadelphia,2044,5131413.688809624
Philadelphia,2045,5284117.24960676
Philadelphia,2046,5219657.845437458
Philadelphia,2047,5427673.388254639
Philadelphia,2048,5445776.981126113
Philadelphia,2049,5348324.477164946
Philadelphia,2050,5326449.1952748615
Pittsburgh,2027,2619299.7621117053
Pittsburgh,2028,2528223.0208434025
Pittsburgh,2029,2546976.645901582
Pittsburgh,2030,2549916.9716110164
Pittsburgh,2031,2498181.8872722564
