city,year,electricity_emissions_mt_co2
Memphis,2050,565301.0187537723
Montgomery,2027,1037334.9841742908
Montgomery,2028,983204.3321745524
Montgomery,2029,915394.669316887
Montgomery,2030,820399.3627132764
Montgomery,2031,763902.2232424114
Montgomery,2032,559721.0614413352
Montgomery,2033,492109.65105787455
Montgomery,2034,474501.7623278287
Montgomery,2035,450285.7705029709
Montgomery,2036,421943.4213211081
Montgomery,2037,389332.48870288813
Montgomery,2038,361865.5759994984
Montgomery,2039,338571.8223997882
Montgomery,2040,325984.81230965955
Montgomery,2041,330039.80695826694
Montgomery,2042,311568.38328273717
Montgomery,2043,281999.03403425607
Montgomery,2044,276476.41167545697
Montgomery,2045,270730.4517878372
Montgomery,2046,261156.1594745783
Montgomery,2047,241632.11892847577
Montgomery,2048,235030.17186736915
Montgomery,2049,238808.23251731956
Montgomery,2050,237793.751213856
Nashville,2027,3804023.2193608526
Nashville,2028,3630239.6416816786
Nashville,2029,3269981.8746516565
Nashville,2030,3259965.3391540926
Nashville,2031,3079644.5355369095
Nashville,2032,1445496.2927895903
Nashville,2033,1347779.6372856433
Nashville,2034,1116689.020386999
Nashville,2035,1040272.1979062178
Nashville,2036,932675.5094576558
Nashville,2037,778952.821385149
Nashville,2038,711774.496725067
Nashville,2039,498211.1471674929
Nashville,2040,503399.1228792113
Nashville,2041,516867.81462415593
Nashville,2042,519801.0407807483
Nashville,2043,502283.3095338254
Nashville,2044,502554.0462197831
Nashville,2045,492394.78468710824
Nashville,2046,499209.32423333137
Nashville,2047,486975.49532135687
Nashville,2048,503045.4553353443
Nashville,2049,512061.03830584174
Nashville,2050,540860.8248607044
Newport News,2027,476557.3384576811
Newport News,2028,448643.76146383537
Newport News,2029,423838.89044551586
Newport News,2030,408251.57144005224
Newport News,2031,352721.28662696364
Newport News,2032,198968.84830321447
Newport News,2033,155632.54352387472
Newport News,2034,138750.0930344538
Newport News,2035,123134.316925671
Newport News,2036,126746.82310870972
Newport News,2037,91685.5497401449
Newport News,2038,97473.29874419556
Newport News,2039,80737.19147118805
Newport News,2040,65028.95765227298
Newport News,2041,69118.389995493
Newport News,2042,68357.42084885348
Newport News,2043,64769.2422616496
Newport News,2044,55162.81642249154
Newport News,2045,49398.41795632582
Newport News,2046,44993.04396536169
Newport News,2047,54205.00661928336
Newport News,2048,54897.91981192028
Newport News,2049,46914.91963589615
Newport News,2050,59079.36321157971
Oakland,2027,342638.09342407464
Oakland,2028,320076.86283937393
Oakland,2029,320239.5745179919
Oakland,2030,343040.0429509524
Oakland,2031,350618.21322784235
Oakland,2032,365903.78566362546
Oakland,2033,323558.33497478435
Oakland,2034,308800.3763390713
Oakland,2035,290140.7003551769
Oakland,2036,260194.1273458284
Oakland,2037,221375.60126056307
Oakland,2038,198752.14902536495
Oakland,2039,172964.67927372592
Oakland,2040,171631.57293105492
Oakland,2041,161871.52565893345
Oakland,2042,144905.81127633373
Oakland,2043,145733.9666291333
Oakland,2044,138705.6584496799
Oakland,2045,131241.6541002727
Oakland,2046,110095.44259093735
Oakland,2047,121390.10312697658
Oakland,2048,121356.15837384756
Oakland,2049,109558.54522100904
Oakland,2050,106764.87417371814
Philadelphia,2027,4190088.198838687
Philadelphia,2028,3895728.590446054
Philadelphia,2029,3679188.5066770297
Philadelphia,2030,3432610.8690805268
Philadelphia,2031,3215324.60014145
Philadelphia,2032,2908250.3932763925
Philadelphia,2033,2733911.729886993
Philadelphia,2034,2493467.940387494
Philadelphia,2035,2434227.2514184304
Philadelphia,2036,2290160.3461071244
Philadelphia,2037,1909852.205761875
Philadelphia,2038,1559587.0483861654
Philadelphia,2039,1388214.8636728758
Philadelphia,2040,1363745.781268395
Philadelphia,2041,1380590.5510685006
Philadelphia,2042,1306409.718371959
Philadelphia,2043,1397076.7879521465
Philadelphia,2044,1470089.5383495102
Philadelphia,2045,1612885.791745847
Philadelphia,2046,1538925.8096482414
Philadelphia,2047,1736135.858884642
