state,year,annual_mwh_avoided,cumulative_mwh_avoided,annual_mt_co2_avoided,cumulative_mt_co2_avoided
AL,2027,131484.30509230314,263902.93943504046,,
AL,2028,130935.21934486588,394838.15877990634,,
AL,2029,131041.783505391,525879.9422852973,,
AL,2030,131484.3780917332,657364.3203770305,75420.86873408445,377071.3208457107
AL,2031,132240.15405827417,789604.4744353048,,
AL,2032,134198.04302708598,923802.5174623907,,
AL,2033,137174.5132354712,1060977.030697862,,
AL,2034,139673.50914452146,1200650.5398423835,,
AL,2035,142839.52655294997,1343490.0663953335,,
AL,2036,146296.69083440746,1489786.757229741,,
AL,2037,147459.94155892904,1637246.69878867,,
AL,2038,148043.44764850877,1785290.1464371786,,
AL,2039,148290.51498290483,1933580.6614200834,,
AL,2040,147866.38355892964,2081447.044979013,,
Florida,2026,495681.3573584709,495681.3573584709,,
Florida,2027,489991.7474324065,985673.1047908774,,
Florida,2028,486296.1216839793,1471969.2264748567,,
Florida,2029,485410.75998581474,1957379.9864606715,,
Florida,2030,486904.4887254272,2444284.475186099,250964.0,1259850.577028215
Florida,2031,490903.3921345437,2935187.8673206423,,
Florida,2032,502476.95507497375,3437664.822395616,,
Florida,2033,518056.52325836814,3955721.345653984,,
Florida,2034,532402.5614012013,4488123.907055185,,
Florida,2035,548984.5402132411,5037108.447268426,,
Florida,2036,566961.4434560579,5604069.890724484,,
Florida,2037,572984.8248716702,6177054.715596154,,
Florida,2038,575195.3959746603,6752250.111570815,,
Florida,2039,575020.432032036,7327270.54360285,,
Florida,2040,572223.1997475168,7899493.743350367,,
VA,2026,201537.3910558135,201537.3910558135,,
VA,2027,199391.19224961943,400928.5833054329,,
VA,2028,197671.7833363578,598600.3666417907,,
VA,2029,197148.80332564662,795749.1699674374,,
VA,2030,197906.9705249563,993656.1404923936,111405.3707944595,559346.8005705611
VA,2031,198822.99249106506,1192479.1329834587,,
VA,2032,201882.3134270761,1394361.446410535,,
VA,2033,207559.86720573285,1601921.3136162679,,
VA,2034,212644.78689030418,1814566.100506572,,
VA,2035,218281.72313703032,2032847.8236436024,,
