city,year,transport_old_mt_co2,transport_new_mt_co2,delta_mt_co2,pct_change
Birmingham,2049,972433.9222240328,394059.4084089917,-578374.5138150412,-59.476998960736914
Birmingham,2050,979497.367861704,387953.74111636676,-591543.6267453372,-60.39256930692004
Buffalo,2027,1603108.6910768675,581635.5980921618,-1021473.0929847057,-63.71826805446014
Buffalo,2028,1539102.1430715837,557295.0856094967,-981807.057462087,-63.79089665242725
Buffalo,2029,1506549.9665316714,538146.61511858,-968403.3514130913,-64.27953754779982
Buffalo,2030,1455393.219742279,520110.138837101,-935283.0809051781,-64.2632567074071
Buffalo,2031,1408367.275946535,502661.43694530486,-905705.8390012301,-64.30892384889614
Buffalo,2032,1355844.0604569844,487317.8775410385,-868526.182915946,-64.05797010485196
Buffalo,2033,1339843.91634235,472995.42256390397,-866848.493778446,-64.69772211563733
Buffalo,2034,1290575.3868787491,458887.1738343388,-831688.2130444103,-64.44321048581631
Buffalo,2035,1250086.09034508,445926.9754394542,-804159.1149056258,-64.32829875609941
Buffalo,2036,1212714.8061151672,433949.0187051528,-778765.7874100144,-64.2167295627178
Buffalo,2037,1178157.3424067858,423090.5515522695,-755066.7908545163,-64.08879049313026
Buffalo,2038,1146626.0536880577,413324.67123553524,-733301.3824525224,-63.95296706314147
Buffalo,2039,1116665.3132764357,404700.9792164144,-711964.3340600213,-63.75807733930849
Buffalo,2040,1090463.9103799688,397157.08996199066,-693306.8204179781,-63.57907068895086
Buffalo,2041,1057216.6299704844,391021.70454575727,-666194.9254247271,-63.01404144988961
Buffalo,2042,1035772.663365919,386049.7950302067,-649722.8683357124,-62.72832749073795
Buffalo,2043,1015569.9412189332,383439.75436929154,-632130.1868496416,-62.243885053444004
Buffalo,2044,1003134.6174814224,381591.99585703464,-621542.6216243878,-61.960041134349396
Buffalo,2045,989780.7733605944,381193.84750871465,-608586.9258518798,-61.4870426089961
Buffalo,2046,980367.8679640512,382633.0520490341,-597734.8159150172,-60.970461746807814
Buffalo,2047,970492.093678452,385603.1138243933,-584888.9798540587,-60.26725860662672
Buffalo,2048,968065.7802681644,390657.74348600867,-577408.0367821557,-59.64553737476472
Buffalo,2049,972433.9222240328,397667.71836491884,-574766.203859114,-59.105939305837715
Buffalo,2050,979497.367861704,407420.33505810995,-572077.032803594,-58.40516284923453
Charlotte,2027,1603108.6910768675,3097213.539669352,1494104.8485924846,93.20047086694035
Charlotte,2028,1539102.1430715837,2963389.234596724,1424287.0915251405,92.54012788798363
Charlotte,2029,1506549.9665316714,2856076.857784785,1349526.8912531135,89.57730717421532
Charlotte,2030,1455393.219742279,2754579.455063732,1299186.2353214528,89.26702541265877
Charlotte,2031,1408367.275946535,2655271.4446924347,1246904.1687458998,88.53544029613163
Charlotte,2032,1355844.0604569844,2562228.8030227935,1206384.742565809,88.97665872867412
Charlotte,2033,1339843.91634235,2474660.3459591684,1134816.4296168184,84.69765886721808
