city,state,region,year,v1_excel_mt_co2,v2_city_specific_mt_co2,v3_mpg_split_mt_co2,v2_v1_delta,v2_v1_pct,v3_v1_delta,v3_v1_pct,v3_v2_delta,v3_v2_pct,v2_gasoline,v2_diesel,v2_ethanol,v2_electricity,v3_gasoline,v3_diesel,v3_ethanol,v3_electricity
Atlanta,Georgia,SRSE,2029,1506549.9665316714,1359385.038624698,1525214.5865363623,-147164.9279069733,-9.768340325662841,18664.62000469095,1.238898172601604,165829.54791166424,12.198865163282617,1185648.8614597237,55585.37647149009,106637.76439982632,11513.03629365799,1371419.4536867044,45790.765656799995,92921.14007934787,15083.227113509947
Atlanta,Georgia,SRSE,2030,1455393.219742279,1309740.2270807533,1472225.8362058685,-145652.99266152573,-10.007810307603188,16832.616463589482,1.156568289260699,162485.6091251152,12.405941710080574,1143485.7203611508,55450.137893690015,98922.81418844512,11881.554637467312,1324802.6747307153,45521.85822618185,86233.3732431963,15667.930005774882
Atlanta,Georgia,SRSE,2031,1408367.275946535,1262483.1588155944,1423369.6239918103,-145884.11713094055,-10.358385885733876,15002.348045275314,1.0652298091201062,160886.46517621586,12.743652384809028,1102787.435352755,55171.34139387592,91765.48906001153,12758.893008952096,1281376.1136711992,45150.21252783287,79972.76088459042,16870.536908187674
Atlanta,Georgia,SRSE,2032,1355844.0604569844,1218259.1578605284,1368882.471761236,-137584.902596456,-10.147546211920808,13038.411304251524,0.9616453458413908,150623.31390070752,12.363815443442085,1067285.9982231439,54964.4705579379,85126.68977061397,10881.999308832686,1235664.8710574706,44821.61861681844,74048.15646021579,14347.825626731268
Atlanta,Georgia,SRSE,2033,1339843.91634235,1176325.20761999,1351021.127084958,-163518.70872235997,-12.204310272852597,11177.210742607946,0.834217374596938,174695.9194649679,14.850988343472032,1031601.0762724071,54701.047149886566,78973.95026804793,11049.133929648382,1223482.5107074133,44541.75888119863,68527.15858037295,14469.698915972796
Atlanta,Georgia,SRSE,2034,1290575.3868787491,1136658.2255889736,1300550.9829264623,-153917.1612897755,-11.926243352743885,9975.596047713188,0.7729572521787451,163892.7573374887,14.418824730940175,996581.7113837464,54539.24153103913,73269.62874874244,12267.643925445525,1176417.3407235695,44430.13684011827,63668.9744794448,16034.530883329706
Atlanta,Georgia,SRSE,2035,1250086.09034508,1099166.5988084455,1258845.405674385,-150919.4915366345,-12.072727846685657,8759.315329304896,0.7006969677493917,159678.8068659394,14.52726156699445,963309.2856524489,54469.422859213286,67978.53891844052,13409.35137834277,1137750.3255910338,44467.76842357621,59105.660702752335,17521.650957022543
Atlanta,Georgia,SRSE,2036,1212714.8061151672,1063869.8464794026,1220345.8562940361,-148844.9596357646,-12.273698555110188,7631.050178868929,0.6292534848580248,156476.00981463352,14.70819107548256,931856.3342187293,54468.33610168324,63069.31817942374,14475.857979566219,1101922.810061886,44650.99123811565,54869.28080027815,18902.774193756617
Atlanta,Georgia,SRSE,2037,1178157.3424067858,1030541.0504575561,1184703.9305506195,-147616.29194922966,-12.529420870702493,6546.58814383368,0.5556633149236293,154162.88009306334,14.95941185696733,902105.9986771032,54535.795797098464,58512.74085746053,15386.515125893953,1068696.8110901425,44996.02594986177,50907.81046512377,20103.283045491393
Atlanta,Georgia,SRSE,2038,1146626.0536880577,999232.8071354397,1152147.8920375553,-147393.246552618,-12.854517484452405,5521.838349497644,0.4815727264993643,152915.08490211563,15.303249033674787,873813.1919022441,54660.53726223918,54282.01674400811,16477.061226948375,1037881.1807433076,45521.02572321167,47207.14985875312,21538.53571228276
